index,LocationName,Occupancy Code,Occupancy Class,name,types,Street,Area,City,Seems Right,Correction,
44,Waikoloa Beach Marriott Resort and Spa,304,Temporary Lodging,Waikoloa Beach Marriott Resort & Spa,"['lodging', 'point_of_interest', 'establishment']",69 275 waikoloa beach dr,HI,WAIKOLOA,TRUE,,
33,One-Miami Beach FL Hotel,304,Temporary Lodging,1 Hotel South Beach,"['spa', 'lodging', 'point_of_interest', 'establishment']",2341 collins ave,FL,MIAMI BEACH,TRUE,,
49,Residence Inn West Palm Beach Downtown C,304,Temporary Lodging,Residence Inn by Marriott West Palm Beach Downtown/Rosemary Square Area,"['lodging', 'point_of_interest', 'establishment']",455 hibiscus st,FL,WEST PALM BEACH,TRUE,,
116,Reserve at Empire Lakes,306,Apartments/Condominiums,The Reserve at Empire Lakes Apartments,"['point_of_interest', 'establishment']",11210 4th st,CA,RANCHO CUCAMONGA,TRUE,,
260,GRAND STRAND MEDICAL CENTER,316,Health Care Services,Grand Strand Medical Center,"['hospital', 'health', 'point_of_interest', 'establishment']",809 82nd pkwy,SC,MYRTLE BEACH,TRUE,,
174,RITE AID,312,Retail Trade,Rite Aid,"['drugstore', 'convenience_store', 'food', 'health', 'point_of_interest', 'store', 'establishment']",968 murrieta boulevard,CA,LIVERMORE,TRUE,,
281,Casino,317,Entertainment and Recreation,Club Wyndham Palm-Aire,"['real_estate_agency', 'travel_agency', 'lodging', 'point_of_interest', 'establishment']",1800 sw third streetracetrack roadpompano park place,FL,POMPANO BEACH,TRUE,also is 304,
110,Promenade at Aventura,306,Apartments/Condominiums,Promenade at Aventura Apartments,"['real_estate_agency', 'point_of_interest', 'establishment']",19680 e country club dr,FL,AVENTURA,TRUE,,
230,3301-3307 Hillview Avenue,315,"Professional, Technical, and Business Services",3301 Hillview Ave,['premise'],3301 3307 hillview ave,CA,PALO ALTO,TRUE,,
288,Oilfield Services,321,General Industrial,Revolution Oilfield Services Inc.,"['point_of_interest', 'establishment']",9110 grogans mill rd,TX,THE WOODLANDS,TRUE,,
320,Science Center,345,"Universities, Colleges, and Technical Schools",Joseph R. Fink Science Center,"['university', 'point_of_interest', 'establishment']",155 palm ave,CA,SAN RAFAEL,TRUE,,
120,Alborada,306,Apartments/Condominiums,Alborada Apartments,"['point_of_interest', 'establishment']",1001 beethoven cmn,CA,FREMONT,TRUE,,
223,Comcast Cable Communications,315,"Professional, Technical, and Business Services",One Installation Inc,"['point_of_interest', 'establishment']",6565 nova drive,FL,DAVIE,TRUE,also is 365,
303,Ogden Salt,330,Mining,Compass Minerals,"['point_of_interest', 'establishment']",765 n 10500 w,UT,OGDEN,TRUE,,
167,The Home Depot Inc,312,Retail Trade,The Home Depot,"['hardware_store', 'furniture_store', 'home_goods_store', 'point_of_interest', 'store', 'establishment']",1550 palm bch lakes boulevard,FL,WEST PALM BEACH,TRUE,,
277,Horseshoe Casino Tunica,317,Entertainment and Recreation,Horseshoe Tunica,"['lodging', 'point_of_interest', 'establishment']",1021 casino center dr,MS,ROBINSONVILLE,TRUE,also is 304,
181,Hawaii-Kona,312,Retail Trade,Kailua-Kona,"['locality', 'political']",74 5455 makala blvd,HI,KAILUA KONA,TRUE,also is 316,cvs pharmacy
30,Four Seasons Orlando incl. Golf Course,304,Temporary Lodging,Four Seasons Golf and Sports Club Orlando,"['point_of_interest', 'establishment']",10100 dream tree blvd,FL,GOLDEN OAK,TRUE,,
6,Islamorada Village of Islands,300,Unknown,Islamorada,"['locality', 'political']",81850 overseas hwy,FL,ISLAMORADA,TRUE,,
103,33 West,306,Apartments/Condominiums,33 West Apartments,"['point_of_interest', 'establishment']",6300 sw 24th place,FL,DAVIE,TRUE,,
115,Park Place at San Mateo,306,Apartments/Condominiums,Park Place at San Mateo Apartments,"['point_of_interest', 'establishment']",1101 park pl,CA,SAN MATEO,TRUE,,
331,Orlando International Airport,353,Air,Orlando International Airport,"['airport', 'point_of_interest', 'establishment']",9459 airport blvd,FL,ORLANDO,TRUE,,
147,AMLI Flagler Village - Apartments,306,Apartments/Condominiums,AMLI Flagler Village,"['point_of_interest', 'establishment']",440 ne 4th avenue,FL,FORT LAUDERDALE,TRUE,,
20,Sandestin,304,Temporary Lodging,Sandestin,"['neighborhood', 'political']",8626 baytowne avenue,FL,WEST DESTIN,TRUE,,
100,Avalon Walnut Creek II,306,Apartments/Condominiums,Avalon Walnut Creek,"['real_estate_agency', 'point_of_interest', 'establishment']",1000 harvey drive,CA,WALNUT CREEK,TRUE,,
329,Tampa International Airport,353,Air,Tampa International Airport,"['airport', 'point_of_interest', 'establishment']",4100 george j bean parkway,FL,TAMPA,TRUE,,
125,Acacia on Santa Rosa Creek,306,Apartments/Condominiums,Acacia on Santa Rosa Creek Apartments,"['point_of_interest', 'establishment']",4631 quigg dr,CA,SANTA ROSA,TRUE,,
328,Memphis International Airport,353,Air,Memphis International Airport,"['airport', 'point_of_interest', 'establishment']",2491 winchester rd,TN,MEMPHIS,TRUE,,
49,Residence Inn West Palm Beach Downtown C,304,Temporary Lodging,Residence Inn by Marriott West Palm Beach Downtown/Rosemary Square Area,"['lodging', 'point_of_interest', 'establishment']",455 hibiscus st,FL,WEST PALM BEACH,TRUE,,
285,Boomtown New Orleans West Bank Shore,317,Entertainment and Recreation,Boomtown Casino & Hotel New Orleans,"['casino', 'point_of_interest', 'establishment']",4132 peters rd 40,LA,HARVEY,TRUE,,
204,1455 Market Street,315,"Professional, Technical, and Business Services",1455 Market St,['premise'],1455 market st,CA,SAN FRANCISCO,TRUE,,
189,GM SPO RANCHO CUCAMONGA,313,Wholesale Trade,General Motors Co,"['point_of_interest', 'establishment']",9150 hermosa ave,CA,RANCHO CUCAMONGA,TRUE,,
330,Southwest Florida International Airport,353,Air,Southwest Florida International Airport,"['airport', 'point_of_interest', 'establishment']",16000 chamberlin pkwy,FL,FORT METERS,TRUE,,
340,4101 Carolina Commerce PkwyLadsonSC29456,365,Telephone and Telegraph,4101 Carolina Commerce Pkwy,['street_address'],4101 carolina commerce pkwy,SC,LADSON,TRUE,,Verizon Wireless
250,NORTHERN LIGHTS   C STREET,315,"Professional, Technical, and Business Services",W Northern Lights Blvd & C St,['intersection'],301 w northern lights blvd,AK,ANCHORAGE,TRUE,,Wells Fargo Bank
291,INTALCO ALUMINUM CORP. (SMELTER),322,Heavy Fabrication and Assembly,Alcoa Intalco Works,"['point_of_interest', 'establishment']",4050 mountain view rd,WA,FERNDALE,TRUE,,
94,Heritage Park Livermore Senior Community,306,Apartments/Condominiums,Heritage Park Livermore for Seniors,"['point_of_interest', 'establishment']",1089 bluebell dr,CA,LIVERMORE,TRUE,,
310,RESURRECTION CHURCH,341,Religion and Non-Profit,Resurrection Catholic Church,"['church', 'place_of_worship', 'point_of_interest', 'establishment']",259 miramar beach drive,FL,DESTIN,TRUE,,
160,ESTERO BAY CHEVROLET,312,Retail Trade,Estero Bay Chevrolet,"['car_dealer', 'point_of_interest', 'store', 'establishment']",10640 chevrolet way,FL,ESTERO,TRUE,,
232,PRII SR 200 East Las Olas Owner  LLC,315,"Professional, Technical, and Business Services",200 E Las Olas Blvd,['premise'],200 e las olas blvd,FL,FORT LAUDERDALE,FALSE,318,Parking Lot
77,Dorchester Brosnan Forest Retreat Two,305,Group Institutional Housing,Brosnan Forest Rd,['route'],125 brosnan forest road,SC,DORCHESTER,FALSE,304,
354,Commercial Metals Company,401,Heavy Fabrication and Assembly - General,CMC Rebar,"['point_of_interest', 'establishment']",2306 b street nw,WA,AUBURN,TRUE,,
35,Burlingame Hyatt Regency,304,Temporary Lodging,Hyatt Regency San Francisco Airport,"['lodging', 'point_of_interest', 'establishment']",1333 old bayshore hwy,CA,BURLINGAME,TRUE,,
249,SOUTH COUNTY ROAD,315,"Professional, Technical, and Business Services",S County Rd,['route'],255 s county rd,FL,PALM BEACH,TRUE,,office building
284,Riverboat,317,Entertainment and Recreation,Century Casino Caruthersville,"['casino', 'tourist_attraction', 'point_of_interest', 'establishment']",777 e 3rd street,MO,CARUTHERSVILLE,TRUE,,also RV Park
9,Waterbrook Apartments,303,Permanent Dwelling: Multi-Family,Avana Rancho Cucamonga Apartments,"['point_of_interest', 'establishment']",10400 arrow rte,CA,RANCHO CUCAMONGA,TRUE,also 306,
644,Mobile Mechanical Dept. Crew,352,Railroad,72 Beauregard St,['street_address'],72 beauregard s,AL,MOBILE,TRUE,,
267,397,312,Retail Trade,Winn-Dixie,"['grocery_or_supermarket', 'florist', 'bakery', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']",6600 hypoluxo road,FL,LAKE WORTH,TRUE,,
632,SP,351,Highway,UPS Customer Center,"['point_of_interest', 'establishment']",1601 atlas road,CA,RICHMOND,TRUE,,
671,FL-22237,365,Telephone and Telegraph,821 1st Ave N,['premise'],821 first ave n,FL,SAINT PETERSBURG,TRUE,,
300,Countryside Centre,312,Retail Trade,Chipotle Mexican Grill,"['restaurant', 'food', 'point_of_interest', 'establishment']",2537 countryside boulevard,FL,CLEARWATER,TRUE,,
76,Marriott Hollywood Beach,304,Temporary Lodging,Hollywood Beach Marriott,"['lodging', 'point_of_interest', 'establishment']",2501 north ocean drive,FL,HOLLYWOOD BEACH,TRUE,,
177,Ocean Watch Villas,306,Apartments/Condominiums,Marriott's OceanWatch Villas at Grande Dunes,"['lodging', 'point_of_interest', 'establishment']",8500 costa verda dr,SC,MYRTLE BEACH,TRUE,,
628,SP,351,Highway,13350 NW 17th St,['premise'],13350 nw 17th st,FL,MIAMI,FALSE,315,UPS
665,1662,365,Telephone and Telegraph,1922 Canal St,['street_address'],1922 canal street,LA,NEW ORLEANS,FALSE,316,hospital
115,Fountain View,305,Group Institutional Housing,Fountainview,"['health', 'point_of_interest', 'establishment']",111 executive center drive,FL,WEST PALM BEACH,TRUE,,
280,Promenade Shopping Plaza,312,Retail Trade,Publix Super Market at Promenade Shopping Plaza,"['grocery_or_supermarket', 'bakery', 'liquor_store', 'food', 'point_of_interest', 'store', 'establishment']",9900 alt a1a,FL,PALM BEACH GARDENS,TRUE,,
262,WESTWINDS OF BOCA,312,Retail Trade,Westwinds of Boca,"['shopping_mall', 'point_of_interest', 'establishment']",9834 glades road,FL,BOCA RATON,TRUE,,
417,Las Olas Centre,315,"Professional, Technical, and Business Services",Las Olas Centre I,"['airport', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",350 las olas boulevard,FL,FT. LAUDERDALE,TRUE,,
391,Comcast Cable Communications,315,"Professional, Technical, and Business Services",Comcast Service Center,"['point_of_interest', 'establishment']",18601 nw 2nd avenue,FL,MIAMI,TRUE,,
168,Plantation Beach Club at Indian River,306,Apartments/Condominiums,Plantation Beach Club,"['real_estate_agency', 'travel_agency', 'lodging', 'point_of_interest', 'establishment']",329 tradewinds lane,FL,STUART,TRUE,,
442,MAINLAND MEDICAL CENTER,316,Health Care Services,HCA Houston Healthcare Mainland,"['hospital', 'health', 'point_of_interest', 'establishment']",6801 emmett f lowry expy,TX,TEXAS CITY,TRUE,,
3,CBS TV City,300,Unknown,Television City,"['point_of_interest', 'establishment']",7800 beverly blvd,CA,LOS ANGELES,TRUE,,
419,The Alhambra,315,"Professional, Technical, and Business Services",2 Alhambra Plaza,['street_address'],2 alhambra plaza,FL,CORAL GABLES,TRUE,,
145,Kings Colony,306,Apartments/Condominiums,Kings Colony Apartments,"['real_estate_agency', 'point_of_interest', 'establishment']",8961 sw 142 ave,FL,MIAMI,TRUE,,
388,The Lincoln,315,"Professional, Technical, and Business Services",THE LINCOLN,"['point_of_interest', 'establishment']",1691 michigan avenue,FL,MIAMI BEACH,TRUE,,
337,301 Business Center,313,Wholesale Trade,9210 E Columbus Dr,['street_address'],9210 e columbus dr,FL,TAMPA,FALSE,321,Industrial Space
445,WEST FLORIDA HOSPITAL,316,Health Care Services,West Florida Hospital,"['hospital', 'health', 'point_of_interest', 'establishment']",8383 n davis highway,FL,PENSACOLA,TRUE,,
288,5214,312,Retail Trade,Wawa,"['gas_station', 'point_of_interest', 'establishment']",7289 garden rd,FL,RIVIERA BEACH,FALSE,335,gas station
538,Aeronautics Company,322,Heavy Fabrication and Assembly,Lockheed Martin Aeronautics Co,"['point_of_interest', 'establishment']",1011 lockheed way,CA,PALMDALE,TRUE,,
115,Fountain View,305,Group Institutional Housing,Fountainview,"['health', 'point_of_interest', 'establishment']",111 executive center drive,FL,WEST PALM BEACH,TRUE,,
505,Electronic Components,321,General Industrial,GE Aviation,"['point_of_interest', 'establishment']",14200 roosevelt blvd,FL,CLEARWATER,TRUE,,
674,CA-21572,365,Telephone and Telegraph,211 W D St,['street_address'],211 w d st,CA,ONTARIO,TRUE,,Verizon
246,Boca Raton Town Center,312,Retail Trade,5700 Glades Rd,['street_address'],5700 w glades rd,FL,BOCA RATON,TRUE,,
342,THE DISNEY STORE DISTRIBUTION CENTER,313,Wholesale Trade,Disney Warehouse,"['storage', 'point_of_interest', 'establishment']",4795 imagination dr,TN,MEMPHIS,TRUE,,
71,Springfield Casino,304,Temporary Lodging,MGM Springfield,"['casino', 'lodging', 'point_of_interest', 'establishment']",1 mgm way,MA,SPRINGFIELD,TRUE,also 317,casino
158,Parc on Powell,306,Apartments/Condominiums,Parc on Powell Apartments,"['point_of_interest', 'establishment']",1333 powell st,CA,EMERYVILLE,TRUE,,
647,Salt Lake City International Airport,353,Air,776 N Terminal Dr,['premise'],776 n terminal dr,UT,SALT LAKE CITY,TRUE,,
,,,,,,,,,,,
,,,,,,,,,,,
